outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Mo,Zr,,,Mo,C,MX2,0.9985823631286621,1,1 4 9 6 36 6 19,Mo C Zr C Mo,,
Mo,Ti,,,Mo,C,MX2,0.9985900521278381,1,1 4 9 6 35 6 19,Mo C Ti C Mo,,
Mo,,Ti,Ti,Mo,C,MX3,0.998581051826477,1,2 5 9 6 45 6 55 6 19,Mo C Ti C Ti C Mo,,
Mo,Ti,,,Mo,N,MX2,0.9985262155532837,1,1 4 9 7 35 7 19,Mo N Ti N Mo,,
Mo,,,,Mo,C,MX1,0.9985972046852112,1,0 3 9 6 19,Mo C Mo,,
Sc,Nb,,,Mo,N,MX2,0.0740872174501419,0,1 4 11 7 33 7 19,Sc N Nb N Mo,,
Mo,,Sc,Sc,Mo,C,MX3,0.9985003471374512,1,2 5 9 6 41 6 51 6 19,Mo C Sc C Sc C Mo,,
Cr,Sc,,,Mo,N,MX2,0.0009855006355792284,0,1 4 8 7 31 7 19,Cr N Sc N Mo,,
Mo,Ta,,,Mo,C,MX2,0.9984686970710754,1,1 4 9 6 34 6 19,Mo C Ta C Mo,,
Mo,Sc,,,Mo,C,MX2,0.9985029697418213,1,1 4 9 6 31 6 19,Mo C Sc C Mo,,
Mo,Hf,,,Mo,C,MX2,0.9985730648040771,1,1 4 9 6 37 6 19,Mo C Hf C Mo,,
Sc,,Ta,Ti,Mo,C,MX3,0.0006992731941863894,0,2 5 11 6 44 6 55 6 19,Sc C Ta C Ti C Mo,,
Mo,Nb,,,Mo,C,MX2,0.9984790682792664,1,1 4 9 6 33 6 19,Mo C Nb C Mo,,
W,,,,Mo,N,MX1,0.0008137690019793808,0,0 3 10 7 19,W N Mo,,
Mo,,Nb,Ti,Mo,C,MX3,0.000785070238634944,0,2 5 9 6 43 6 55 6 19,Mo C Nb C Ti C Mo,,
Mo,,,,Mo,N,MX1,0.9985465407371521,1,0 3 9 7 19,Mo N Mo,,
Cr,Ti,,,Mo,C,MX2,0.0005846571875736117,0,1 4 8 7 35 6 19,Cr C Ti C Mo,,
Ta,,Ti,Ti,Ta,C,MX3,0.9909955859184265,1,2 5 14 6 45 6 55 6 24,Ta C Ti C Ti C Ta,,
Ti,,,,Ti,N,MX1,0.9981689453125,1,0 3 15 7 25,Ti N Ti,,
Cr,Zr,,,Cr,C,MX2,0.16746750473976135,0,1 4 8 6 36 6 18,Cr C Zr C Cr,,
Ti,,,,Ti,C,MX1,0.9982956051826477,1,0 3 15 6 25,Ti C Ti,,
Sc,Ta,,,Sc,C,MX2,0.9255332946777344,1,1 4 11 7 34 6 21,Sc C Ta C Sc,,
Cr,Zr,,,Cr,N,MX2,0.942651093006134,1,1 4 8 7 36 7 18,Cr N Zr N Cr,,
W,,Hf,Ti,Mo,C,MX3,0.0005558062111958861,0,2 5 10 7 47 7 55 6 19,W C Hf C Ti C Mo,,
Mo,,Ti,Ti,Mo,N,MX3,0.9985322952270508,1,2 5 9 7 45 7 55 7 19,Mo N Ti N Ti N Mo,,
Sc,Ta,,,Mo,C,MX2,0.004184397403150797,0,1 4 11 6 34 6 19,Sc C Ta C Mo,,
