outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Sc,Hf,,,Sc,C,MX2,0.0019680236000567675,0,1 4 11 6 37 6 21,Sc C Hf C Sc,0,
Mo,Sc,,,Mo,C,MX2,0.9829308390617371,1,1 4 9 6 31 6 19,Mo C Sc C Mo,1,
Mo,,Ti,Ti,Mo,N,MX3,0.9880069494247437,1,2 5 9 7 45 7 55 7 19,Mo N Ti N Ti N Mo,1,
V,,Ti,Ti,V,N,MX3,0.9858273267745972,1,2 5 12 7 45 7 55 7 22,V N Ti N Ti N V,,
Mo,,Zr,Zr,Mo,C,MX3,0.9868544340133667,1,2 5 9 6 46 6 56 6 19,Mo C Zr C Zr C Mo,1,
Sc,Ta,,,Sc,C,MX2,0.9845554232597351,1,1 4 11 6 34 6 21,Sc C Ta C Sc,1,
Ta,Ti,,,Ta,C,MX2,0.9875812530517578,1,1 4 14 6 35 6 24,Ta C Ti C Ta,1,
W,Ti,,,W,N,MX2,0.9881695508956909,1,1 4 10 7 35 7 20,W N Ti N W,,
Mo,Ta,,,Mo,C,MX2,0.9883497953414917,1,1 4 9 6 34 6 19,Mo C Ta C Mo,1,
Mo,,Sc,Sc,Mo,C,MX3,0.9832626581192017,1,2 5 9 6 41 6 51 6 19,Mo C Sc C Sc C Mo,1,
Ta,,Hf,Hf,Ta,C,MX3,0.9782038927078247,1,2 5 14 6 47 6 57 6 24,Ta C Hf C Hf C Ta,1,
Mo,,,,Mo,N,MX1,0.9878832697868347,1,0 3 9 7 19,Mo N Mo,1,
Cr,,Ta,Ta,Cr,C,MX3,0.9853515625,1,2 5 8 6 44 6 54 6 18,Cr C Ta C Ta C Cr,1,
W,,V,V,W,C,MX3,0.612933874130249,1,2 5 10 6 42 6 52 6 20,W C V C V C W,,
Ti,,,,Ti,C,MX1,0.9659720063209534,1,0 3 15 6 25,Ti C Ti,1,
Mo,V,,,Mo,N,MX2,0.9868372678756714,1,1 4 9 7 32 7 19,Mo N V N Mo,,
Ta,,Ti,Ti,Ta,C,MX3,0.9872092008590698,1,2 5 14 6 45 6 55 6 24,Ta C Ti C Ti C Ta,1,
Sc,Hf,,,Sc,N,MX2,0.976740837097168,1,1 4 11 7 37 7 21,Sc N Hf N Sc,0,
W,,,,W,C,MX1,0.9877166152000427,1,0 3 10 6 20,W C W,1,
Sc,,V,V,Sc,C,MX3,0.17121486365795135,0,2 5 11 6 42 6 52 6 21,Sc C V C V C Sc,0,
Mo,,Zr,Zr,Mo,N,MX3,0.9880535006523132,1,2 5 9 7 46 7 56 7 19,Mo N Zr N Zr N Mo,0,
Nb,Ti,,,Nb,N,MX2,0.9875780940055847,1,1 4 13 7 35 7 23,Nb N Ti N Nb,1,
Ta,,,,Ta,C,MX1,0.9870562553405762,1,0 3 14 6 24,Ta C Ta,1,
W,,Sc,Sc,W,C,MX3,0.6129048466682434,1,2 5 10 6 41 6 51 6 20,W C Sc C Sc C W,1,
Sc,,V,V,Sc,N,MX3,0.9598349332809448,1,2 5 11 7 42 7 52 7 21,Sc N V N V N Sc,,
Cr,Ti,,,Cr,C,MX2,0.9876585602760315,1,1 4 8 6 35 6 18,Cr C Ti C Cr,1,
V,,,,V,C,MX1,0.982591450214386,1,0 3 12 6 22,V C V,2,
Sc,,Nb,Nb,Sc,N,MX3,0.9862452745437622,1,2 5 11 7 43 7 53 7 21,Sc N Nb N Nb N Sc,,
Hf,,,,Hf,N,MX1,0.9870294332504272,1,0 3 17 7 27,Hf N Hf,,
Cr,Nb,,,Cr,C,MX2,0.002003891160711646,0,1 4 8 6 33 6 18,Cr C Nb C Cr,0,
W,,Ta,Ta,W,N,MX3,0.9871101379394531,1,2 5 10 7 44 7 54 7 20,W N Ta N Ta N W,,
Ta,,Cr,Cr,Ta,C,MX3,0.0013512212317436934,0,2 5 14 6 38 6 48 6 24,Ta C Cr C Cr C Ta,,
Mo,,Hf,Hf,Mo,N,MX3,0.9880309700965881,1,2 5 9 7 47 7 57 7 19,Mo N Hf N Hf N Mo,0,
Cr,Ti,,,Cr,N,MX2,0.9881757497787476,1,1 4 8 7 35 7 18,Cr N Ti N Cr,1,
Nb,Zr,,,Nb,C,MX2,0.9871737957000732,1,1 4 13 6 36 6 23,Nb C Zr C Nb,1,
Ta,Sc,,,Ta,C,MX2,0.001399314496666193,0,1 4 14 6 31 6 24,Ta C Sc C Ta,1,
Sc,,Zr,Zr,Sc,N,MX3,0.9686786532402039,1,2 5 11 7 46 7 56 7 21,Sc N Zr N Zr N Sc,,
V,Ti,,,V,N,MX2,0.9868019223213196,1,1 4 12 7 35 7 22,V N Ti N V,,
Mo,,Ti,Ti,Mo,C,MX3,0.9882985353469849,1,2 5 9 6 45 6 55 6 19,Mo C Ti C Ti C Mo,1,
Mo,Ta,,,Mo,N,MX2,0.9881239533424377,1,1 4 9 7 34 7 19,Mo N Ta N Mo,1,
Cr,,Ti,Ti,Cr,N,MX3,0.9878276586532593,1,2 5 8 7 45 7 55 7 18,Cr N Ti N Ti N Cr,1,
V,,,,V,N,MX1,0.9869241118431091,1,0 3 12 7 22,V N V,1,
Hf,,,,Hf,C,MX1,0.9850931763648987,1,0 3 17 6 27,Hf C Hf,,
V,Ti,,,V,C,MX2,0.9845543503761292,1,1 4 12 6 35 6 22,V C Ti C V,,
W,,Ti,Ti,W,N,MX3,0.987869918346405,1,2 5 10 7 45 7 55 7 20,W N Ti N Ti N W,1,
Mo,Ti,,,Mo,C,MX2,0.9884138703346252,1,1 4 9 6 35 6 19,Mo C Ti C Mo,1,
Mo,Zr,,,Mo,N,MX2,0.9883687496185303,1,1 4 9 7 36 7 19,Mo N Zr N Mo,0,
W,,Hf,Hf,W,N,MX3,0.9867892861366272,1,2 5 10 7 47 7 57 7 20,W N Hf N Hf N W,,
W,,Ti,Ti,W,C,MX3,0.9877088069915771,1,2 5 10 6 45 6 55 6 20,W C Ti C Ti C W,1,
Sc,,Ti,Ti,Sc,N,MX3,0.9565016031265259,1,2 5 11 7 45 7 55 7 21,Sc N Ti N Ti N Sc,0,
Cr,Zr,,,Cr,N,MX2,0.9879236817359924,1,1 4 8 7 36 7 18,Cr N Zr N Cr,0,
Nb,Ti,,,Nb,C,MX2,0.9876757860183716,1,1 4 13 6 35 6 23,Nb C Ti C Nb,0,
Cr,,V,V,Cr,N,MX3,0.9844951033592224,1,2 5 8 7 42 7 52 7 18,Cr N V N V N Cr,,
Cr,,Ti,Ti,Cr,C,MX3,0.9866070747375488,1,2 5 8 6 45 6 55 6 18,Cr C Ti C Ti C Cr,1,
Mo,Hf,,,Mo,C,MX2,0.9882630705833435,1,1 4 9 6 37 6 19,Mo C Hf C Mo,1,
Mo,,Nb,Nb,Mo,N,MX3,0.9872515201568604,1,2 5 9 7 43 7 53 7 19,Mo N Nb N Nb N Mo,1,
Cr,,Hf,Hf,Cr,C,MX3,0.005310408771038055,0,2 5 8 6 47 6 57 6 18,Cr C Hf C Hf C Cr,0,
Ta,Hf,,,Ta,N,MX2,0.9869195818901062,1,1 4 14 7 37 7 24,Ta N Hf N Ta,1,
Mo,,,,Mo,C,MX1,0.9879433512687683,1,0 3 9 6 19,Mo C Mo,1,
