Structure,M,M',Stability Label,ID,Tokens,M-Count,M'-Count,X,X-Count
M2M'C2,Sc,Nb,1,Sc2NbC2,Sc C Nb C Sc,2,1,C,2
M2M'C2,Sc,Ta,1,Sc2TaC2,Sc C Ta C Sc,2,1,C,2
M2M'C2,Sc,W,1,Sc2WC2,Sc C W C Sc,2,1,C,2
M2M'C2,Sc,Y,0,Sc2YC2,Sc C Y C Sc,2,1,C,2
M2M'C2,Sc,Ti,0,Sc2TiC2,Sc C Ti C Sc,2,1,C,2
M2M'C2,Sc,Zr,0,Sc2ZrC2,Sc C Zr C Sc,2,1,C,2
M2M'C2,Sc,Hf,0,Sc2HfC2,Sc C Hf C Sc,2,1,C,2
M2M'C2,Sc,V,0,Sc2VC2,Sc C V C Sc,2,1,C,2
M2M'C2,Sc,Cr,0,Sc2CrC2,Sc C Cr C Sc,2,1,C,2
M2M'C2,Sc,Mo,0,Sc2MoC2,Sc C Mo C Sc,2,1,C,2
M2M'C2,Y,Sc,0,Y2ScC2,Y C Sc C Y,2,1,C,2
M2M'C2,Y,Ti,0,Y2TiC2,Y C Ti C Y,2,1,C,2
M2M'C2,Y,Zr,0,Y2ZrC2,Y C Zr C Y,2,1,C,2
M2M'C2,Y,Hf,0,Y2HfC2,Y C Hf C Y,2,1,C,2
M2M'C2,Y,V,0,Y2VC2,Y C V C Y,2,1,C,2
M2M'C2,Y,Nb,0,Y2NbC2,Y C Nb C Y,2,1,C,2
M2M'C2,Y,Ta,0,Y2TaC2,Y C Ta C Y,2,1,C,2
M2M'C2,Y,Cr,0,Y2CrC2,Y C Cr C Y,2,1,C,2
M2M'C2,Y,Mo,0,Y2MoC2,Y C Mo C Y,2,1,C,2
M2M'C2,Y,W,0,Y2WC2,Y C W C Y,2,1,C,2
M2M'C2,Ti,Nb,1,Ti2NbC2,Ti C Nb C Ti,2,1,C,2
M2M'C2,Ti,Ta,1,Ti2TaC2,Ti C Ta C Ti,2,1,C,2
M2M'C2,Ti,V,1,Ti2VC2,Ti C V C Ti,2,1,C,2
M2M'C2,Ti,Hf,1,Ti2HfC2,Ti C Hf C Ti,2,1,C,2
M2M'C2,Ti,W,1,Ti2WC2,Ti C W C Ti,2,1,C,2
M2M'C2,Ti,Zr,0,Ti2ZrC2,Ti C Zr C Ti,2,1,C,2
M2M'C2,Ti,Cr,1,Ti2CrC2,Ti C Cr C Ti,2,1,C,2
